
PP1vocor,observor,amor,
PP2vocaris,observaris,amaris,
PP3vocatur,observatur,amatur,
PP4vocamur,observamur,amamur,
PP5vocamini,observamini,amamini,
PP6vocantur,observantur,amantur,
PI1vocabar,observabar,amabar,
PI2vocabaris,observabaris,amabaris,
PI3vocabatur,observabatur,amabatur,
PI4vocabamur,observabamur,amabamur,
PI5vocabamini,observabamini,amabamini,
PI6vocabantur,observabantur,amabantur,
Pf1vocabor,observabor,amabor,
Pf2vocaberis,observaberis,amaberis,
Pf3vocabitur,observabitur,amabitur,
Pf4vocabimur,observabimur,amabimur,
Pf5vocabimini,observabimini,amabimini,
Pf6vocabuntur,observabuntur,amabuntur,
AP1voco,observo,amo,
AP2vocas,observas,amas,
AP3vocat,observat,amat,
AP4vocamus,observamus,amamus,
AP5vocatis,observatis,amatis,
AP6vocant,observant,amant,
AI1vocabam,observabam,amabam,
AI2vocabas,observabas,amabas,
AI3vocabat,observabat,amabat,
AI4vocabamus,observabamus,amabamus,
AI5vocabatis,observabatis,amabatis,
AI6vocabant,observabant,amabant,
Ap1vocavi,observavi,amavi,
Ap2vocavisti,observavisti,amavisti,
Ap3vocavit,observavit,amavit,
Ap4vocavimus,observavimus,amavimus,
Ap5vocavistis,observavistis,amavistis,
Ap6vocaverunt,observaverunt,amaverunt,
Al1vocaveram,observaveram,amaveram,
Al2vocaveras,observaveras,amaveras,
Al3vocaverat,observaverat,amaverat,
Al4vocaveramus,observaveramus,amaveramus,
Al5vocaveratis,observaveratis,amaveratis,
Al6vocaverant,observaverant,amaverant,
Af1vocabo,observabo,amabo,
Af2vocabis,observabis,amabis,
Af3vocavbit,observabit,amabit,
Af4vocavebimus,observabimus,amavebimus,
Af5vocabitis,observabitis,amavebitis,
Af6vocabunt,observabunt,amabunt,
